day,start_hour,start_minute,end_hour,end_minute,duration,activity,category,color
1,0,0,6,45,525,sleep,off,#6da4bf
1,6,45,7,0,15,wake,work,#ff7373
1,7,0,9,0,120,learn,work,#aed4ff
1,9,0,11,0,120,school,work,#aed4ff
1,11,0,12,45,105,kids,family,#e6db74
1,12,45,14,15,90,data viz,work,#aed4ff
1,14,15,16,0,105,kids,family,#e6db74
1,16,0,17,0,60,reading+,work,#aed4ff
1,17,0,19,0,120,kids,family,#e6db74
1,19,0,20,0,60,dinner,personal,#bada55
1,20,0,21,0,60,admin,work,#aed4ff
1,21,0,21,30,30,fun,personal,#bada55
1,21,30,22,0,30,read,personal,#bada55
1,22,0,23,59,525,sleep,off,#6da4bf
2,0,0,6,45,525,sleep,off,#6da4bf
2,6,45,7,0,15,wake,work,#ff7373
2,7,0,9,0,120,learn,work,#aed4ff
2,9,0,11,0,120,school,work,#aed4ff
2,11,0,12,45,105,kids,family,#e6db74
2,12,45,14,15,90,bike,work,#aed4ff
2,14,15,16,0,105,kids,family,#e6db74
2,16,0,17,0,60,reading+,work,#aed4ff
2,17,0,19,0,120,kids,family,#e6db74
2,19,0,20,0,60,dinner,personal,#bada55
2,20,0,21,0,60,admin,work,#aed4ff
2,21,0,21,30,30,fun,personal,#bada55
2,21,30,22,0,30,read,personal,#bada55
2,22,0,23,59,525,sleep,off,#6da4bf
